# INFO_GERAL: XI RALLY JALAPAO 20/06/2025 - 09:19:38 | Campeonato Brasileiro de Rally Raid 2025 Resultados Oficiais | ACUMULADO ATÉ Dia 4: Sao Felix do Tocantins/TO - Palmas/TO (740.36km) Geral - UTV

POS;PILOTO_INFO;CAT;DIA 1;DIA 2;DIA 3;DIA 4;NO;COLUNA_4;COLUNA_9;COLUNA_11;TOTAL DIF.LIDER DIF.ANTERIOR;COLUNA_7;COLUNA_13;COLUNA_5;COLUNA_12;COLUNA_14;COLUNA_8;TEMPO;PENAL
30;"THIAGO TORRES (SP)
EDUARDO SHIGA (SP)
Can-Am Maverick R
T+A Rally Team";"02:57:18.58
(20)";"02:37:12.62
(32)";"02:32:01.66
(32)";"06:00:00.00
(36)";"03:03:46.00
00:00:10.00";125;(7)UT1;11:02:56.86;"14:06:32.86
05:45:58.24
00:03:41.12";;;;;;;;;
31;"DOUGLAS CARASSA (PR)
CLAUDIO RIESER (SP)
Can-Am Maverick R
Varela Can-Am Monster Energy";(8)UT1;"03:06:48.40
(31)";"07:25:00.00
(40)";"02:12:01.57
(23)";10:25:41.26;169;;"01:29:57.29
(11)";"03:48:12.00
00:00:06.00";;;;;;;;"14:13:47.26
05:53:12.64
00:07:14.40";
32;"IVAN KUHNEN (SC)
HUMBERTO PIAUI (PI)
Can-Am Maverick X3
Vigifort Racing";(9)UOP;"03:02:34.17
(27)";"02:26:19.67
(25)";"07:30:00.00
(39)";11:36:09.60;158;;"01:37:25.76
(24)";"03:00:10.00
* * *";;;;;;;;"14:36:19.60
06:15:44.98
00:22:32.34";
33;"THIAGO FRAGA (PR)
ALVARO AMARANTE (GO)
Can-Am Maverick X3
Dango Racing";(11)UTU;"02:51:18.19
(8)";"08:10:00.00
(42)";"02:01:54.60
(5)";10:06:50.08;111;;"01:36:06.29
(20)";"04:32:33.00
00:00:04.00";;;;;;;;"14:39:19.08
06:18:44.46
00:02:59.48";
34;"DONI MENEGAS (TO)
CAMILO CARRIAO (TO)
Polaris RZR Pro R
Ghs Grandtec Racing";(3)UT2;"02:59:12.98
(23)";"03:42:53.22
(39)";"02:08:22.24
(14)";11:48:50.44;139;;"06:30:00.00
(40)";"03:36:00.00
00:04:22.00";;;;;;;;"15:20:28.44
06:59:53.82
00:41:09.36";
35;"ALFEU DE CASTRO (CE)
LINCOLN DIEGO (CE)
Polaris RZR Pro R
Lpg Rally Team";(4)UT3;"09:10:00.00
(44)";"02:41:57.86
(33)";"02:18:16.19
(30)";11:13:18.03;141;;"01:36:57.98
(23)";"04:34:00.00
00:00:06.00";;;;;;;;"15:47:12.03
07:26:37.41
00:26:43.59";
36;"MICHEL FALQUEIRO (SP)
IGOR DE CARVALHO (PR)
Can-Am Maverick R
Varela Can-Am Monster Energy";(9)UT1;"06:40:00.00
(39)";"02:19:11.34
(13)";"02:14:37.42
(28)";12:13:53.76;146;;"06:00:00.00
(36)";"05:00:00.00
00:00:05.00";;;;;;;;"17:13:48.76
08:53:14.14
01:26:36.73";
37;"TOMAS LUZA (BA)
FLAVIO FRANCA (RN)
Can-Am Maverick R
Cotton Racing";(12)UTU;"07:40:00.00
(40)";"02:26:53.21
(26)";"02:01:16.62
(4)";12:05:45.83;104;;"05:30:00.00
(32)";"05:32:30.00
00:00:06.00";;;;;;;;"17:38:09.83
09:17:35.21
00:24:21.07";
38;"VALENTINA FRANCIOSI (BA)
WELLINTON REZENDE (MG)
Polaris RZR Pro R
Cotton Racing";(4)UT2;"02:52:09.18
(13)";"07:25:00.00
(40)";"02:03:05.00
(7)";11:35:25.18;170;;"05:30:00.00
(32)";"06:15:00.00
00:00:11.00";;;;;;;;"17:50:14.18
09:29:39.56
00:12:04.35";
39;"RODRIGO LUPPI (SP)
MAYKEL JUSTO (SP)
Can-Am Maverick R
Luppi Racing Team";(13)UTU;"04:13:32.29
(38)";"02:22:08.06
(17)";"02:51:00.09
(34)";12:24:15.44;120;;"10:20:00.00
(41)";"07:22:30.00
00:00:05.00";;;;;;;;"19:46:40.44
11:26:05.82
01:56:26.26";
40;"JEAN AZEVEDO (SP)
IDALI BOSSE (SC)
Can-Am Maverick R
T+A Rally Team";(14)UTU;"02:52:06.30
(12)";"08:10:00.00
(42)";"08:00:00.00
(40)";12:31:36.32;108;;"01:29:50.02
(10)";"08:00:20.00
* * *";;;;;;;;"20:31:56.32
12:11:21.70
00:45:15.88";
41;"LEONARDO CASTRO (BA)
ROGERIO ALMEIDA (CE)
Polaris RZR Pro R
C3 Racing - Avant Polaris";(5)UT2;"03:11:06.59
(32)";"02:19:18.91
(14)";"08:00:00.00
(40)";13:00:25.50;136;;"10:20:00.00
(41)";"10:50:00.00
* * *";;;;;;;;"23:50:25.50
15:29:50.88
03:18:29.18";
42;"DANIEL TRECENTI (SP)
ANDRE BALLA (SP)
Can-Am Maverick X3
Hps Racing";(6)UT2;"07:40:00.00
(40)";"03:10:18.69
(37)";"08:00:00.00
(40)";15:20:18.69;145;;"06:00:00.00
(36)";"09:30:00.00
* * *";;;;;;;;"24:50:18.69
16:29:44.07
00:59:53.19";
43;"TATA XAVIER (AL)
ERICK SHARPEY (MG)
Polaris RZR Pro R
Cotton Racing - Polaris";(10)UT1;"02:51:33.96
(10)";"02:18:33.10
(12)";"11:50:00.00
(43)";12:39:57.06;137;;"10:20:00.00
(41)";"14:40:10.00
* * *";;;;;;;;"27:20:07.06
18:59:32.44
02:29:48.37";
44;"DENISIO CASARINI (SP)
BRENO REZENDE (MG)
Can-Am Maverick R
Mrp Performance";(15)UTU;"03:02:56.35
(28)";"08:10:00.00
(42)";"11:50:00.00
(43)";14:08:14.35;105;;"10:20:00.00
(41)";"19:14:42.00
* * *";;;;;;;;"33:22:56.35
25:02:21.73
06:02:49.29";
45;"ADRIANO BENVENUTTI (SC)
RAFAEL ESPINDOLA (SC)
Can-Am Maverick R
Transben Racing";(10)UOP;"13:00:00.00
(45)";"12:00:00.00
(45)";"11:50:00.00
(43)";15:50:00.00;109;;"10:20:00.00
(41)";"31:20:00.00
* * *";;;;;;;;"47:10:00.00
38:49:25.38
13:47:03.65";
