Year,Circuit,Pos,Points,Number,Rider,Nation,Team,Motorcycle,Total Time,Km/h
2008,NED,11,5,46,Valentino ROSSI,ITA,Fiat,Yamaha Team YAMAHA,42:58:362,165.356
2008,NED,12,4,24,Toni ELIAS,SPA,Alice,Team DUCATI,43:00:550,165.215
2008,NED,13,3,33,Marco MELANDRI,ITA,Ducati,Marlboro Team DUCATI,43:11:931,164.49
2008,POR,1,25,48,Jorge LORENZO,SPA,Fiat,Yamaha Team YAMAHA,45:53:089,153.117
2008,POR,2,20,2,Dani PEDROSA,SPA,Repsol,Honda Team HONDA,45:54:906,153.016
2008,POR,3,16,46,Valentino ROSSI,ITA,Fiat,Yamaha Team YAMAHA,46:05:812,152.412
2008,POR,4,13,5,Colin EDWARDS,USA,Tech 3,Yamaha YAMAHA,46:10:312,152.165
2008,POR,5,11,21,John HOPKINS,USA,Kawasaki,Racing Team KAWASAKI,46:16:841,151.807
2008,POR,6,10,1,Casey STONER,AUS,Ducati,Marlboro Team DUCATI,46:19:777,151.647
2008,POR,7,9,52,James TOSELAND,GBR,Tech 3,Yamaha YAMAHA,46:25:720,151.323
2008,POR,8,8,7,Chris VERMEULEN,AUS,Rizla,Suzuki MotoGP SUZUKI,46:29:471,151.12
2008,POR,9,7,65,Loris CAPIROSSI,ITA,Rizla,Suzuki MotoGP SUZUKI,46:31:357,151.018
2008,POR,10,6,56,Shinya NAKANO,JPN,San,Carlo Honda Gresini HONDA,46:32:565,150.952
2008,POR,11,5,15,Alex DE ANGELIS,RSM,San,Carlo Honda Gresini HONDA,46:54:395,149.781
2008,POR,12,4,24,Toni ELIAS,SPA,Alice,Team DUCATI,46:56:956,149.645
2008,POR,13,3,33,Marco MELANDRI,ITA,Ducati,Marlboro Team DUCATI,47:02:614,149.345
2008,POR,14,2,50,Sylvain GUINTOLI,FRA,Alice,Team DUCATI,47:02:723,149.34
2008,POR,15,1,14,Randy DE PUNIET FRA,LCR,Honda,MotoGP HONDA,47:04:631,149.239
2008,GER,1,25,1,Casey STONER,AUS,Ducati,Marlboro Team DUCATI,47:30:057,139.108
2008,GER,2,20,46,Valentino ROSSI,ITA,Fiat,Yamaha Team YAMAHA,47:33:765,138.928
2008,GER,3,16,7,Chris VERMEULEN,AUS,Rizla,Suzuki MotoGP SUZUKI,47:44:059,138.428
2008,GER,4,13,15,Alex DE ANGELIS,RSM,San,Carlo Honda Gresini HONDA,47:44:181,138.422
2008,GER,5,11,4,Andrea DOVIZIOSO,ITA,JiR,Team Scot MotoGP HONDA,48:12:079,137.087
2008,GER,6,10,50,Sylvain GUINTOLI,FRA,Alice,Team DUCATI,48:16:705,136.868
2008,GER,7,9,65,Loris CAPIROSSI,ITA,Rizla,Suzuki MotoGP SUZUKI,48:34:540,136.031
2008,GER,8,8,14,Randy DE PUNIET FRA,LCR,Honda,MotoGP HONDA,48:34:645,136.026
2008,GER,9,7,56,Shinya NAKANO,JPN,San,Carlo Honda Gresini HONDA,48:46:830,135.459
2008,GER,10,6,13,Anthony WEST,AUS,Kawasaki,Racing Team KAWASAKI,48:59:332,134.883
2008,GER,11,5,52,James TOSELAND,GBR,Tech 3,Yamaha YAMAHA,47:41:757,133.922
2008,GER,12,4,24,Toni ELIAS,SPA,Alice,Team DUCATI,47:43:954,133.819
2008,GER,13,3,69,Nicky HAYDEN,USA,Repsol,Honda Team HONDA,48:13:749,127.874
2008,FRA,1,25,46,Valentino ROSSI,ITA,Fiat,Yamaha Team YAMAHA,44:30:799,157.948
2008,FRA,2,20,48,Jorge LORENZO,SPA,Fiat,Yamaha Team YAMAHA,44:35:796,157.653
2008,FRA,3,16,5,Colin EDWARDS,USA,Tech 3,Yamaha YAMAHA,44:37:604,157.546
2008,FRA,4,13,2,Dani PEDROSA,SPA,Repsol,Honda Team HONDA,44:40:956,157.349
2008,FRA,5,11,7,Chris VERMEULEN,AUS,Rizla,Suzuki MotoGP SUZUKI,44:52:561,156.671
2008,FRA,6,10,4,Andrea DOVIZIOSO,ITA,JiR,Team Scot MotoGP HONDA,44:53:194,156.634
2008,FRA,7,9,65,Loris CAPIROSSI,ITA,Rizla,Suzuki MotoGP SUZUKI,44:58:605,156.32
2008,FRA,8,8,69,Nicky HAYDEN,USA,Repsol,Honda Team HONDA,44:58:794,156.309
2008,FRA,9,7,14,Randy DE PUNIET FRA,LCR,Honda,MotoGP HONDA,45:00:143,156.231
2008,FRA,10,6,56,Shinya NAKANO,JPN,San,Carlo Honda Gresini HONDA,45:01:621,156.146
2008,FRA,11,5,24,Toni ELIAS,SPA,Alice,Team DUCATI,45:05:953,155.896
2008,FRA,12,4,15,Alex DE ANGELIS,RSM,San,Carlo Honda Gresini HONDA,45:07:015,155.835
2008,FRA,13,3,50,Sylvain GUINTOLI,FRA,Alice,Team DUCATI,45:22:837,154.929
2008,FRA,14,2,13,Anthony WEST,AUS,Kawasaki,Racing Team KAWASAKI,46:00:106,152.837
2008,FRA,15,1,33,Marco MELANDRI,ITA,Ducati,Marlboro Team DUCATI,46:10:422,146.83
2008,GBR,1,25,1,Casey STONER,AUS,Ducati,Marlboro Team DUCATI,44:44:982,161.82
2008,GBR,2,20,46,Valentino ROSSI,ITA,Fiat,Yamaha Team YAMAHA,44:50:771,161.471
2008,GBR,3,16,2,Dani PEDROSA,SPA,Repsol,Honda Team HONDA,44:53:329,161.318
2008,GBR,4,13,5,Colin EDWARDS,USA,Tech 3,Yamaha YAMAHA,44:57:660,161.059
2008,GBR,5,11,4,Andrea DOVIZIOSO,ITA,JiR,Team Scot MotoGP HONDA,44:59:783,160.932
2008,GBR,6,10,48,Jorge LORENZO,SPA,Fiat,Yamaha Team YAMAHA,45:00:672,160.879
2008,GBR,7,9,69,Nicky HAYDEN,USA,Repsol,Honda Team HONDA,45:03:178,160.73
2008,GBR,8,8,7,Chris VERMEULEN,AUS,Rizla,Suzuki MotoGP SUZUKI,45:06:648,160.524
2008,GBR,9,7,56,Shinya NAKANO,JPN,San,Carlo Honda Gresini HONDA,45:14:336,160.07
2008,GBR,10,6,13,Anthony WEST,AUS,Kawasaki,Racing Team KAWASAKI,45:26:012,159.384
2008,GBR,11,5,24,Toni ELIAS,SPA,Alice,Team DUCATI,45:29:408,159.186
2008,GBR,12,4,14,Randy DE PUNIET FRA,LCR,Honda,MotoGP HONDA,45:31:181,159.082
2008,GBR,13,3,50,Sylvain GUINTOLI,FRA,Alice,Team DUCATI,45:33:713,158.935
2008,GBR,14,2,11,Ben SPIES,USA,Rizla,Suzuki MotoGP SUZUKI,45:34:573,158.885
2008,GBR,15,1,15,Alex DE ANGELIS,RSM,San,Carlo Honda Gresini HONDA,46:07:168,157.013
2008,AUS,1,25,1,Casey STONER,AUS,Ducati,Marlboro Team DUCATI,40:56:643,175.99
2008,AUS,2,20,46,Valentino ROSSI,ITA,Fiat,Yamaha Team YAMAHA,41:03:147,175.525
2008,AUS,3,16,69,Nicky HAYDEN,USA,Repsol,Honda Team HONDA,41:03:848,175.475
2008,AUS,4,13,48,Jorge LORENZO,SPA,Fiat,Yamaha Team YAMAHA,41:08:143,175.17
2008,AUS,5,11,56,Shinya NAKANO,JPN,San,Carlo Honda Gresini HONDA,41:08:557,175.141
2008,AUS,6,10,52,James TOSELAND,GBR,Tech 3,Yamaha YAMAHA,41:08:886,175.117
2008,AUS,7,9,4,Andrea DOVIZIOSO,ITA,JiR,Team Scot MotoGP HONDA,41:09:423,175.079
2008,AUS,8,8,5,Colin EDWARDS,USA,Tech 3,Yamaha YAMAHA,41:22:563,174.152
2008,AUS,9,7,14,Randy DE PUNIET FRA,LCR,Honda,MotoGP HONDA,41:22:680,174.144
2008,AUS,10,6,65,Loris CAPIROSSI,ITA,Rizla,Suzuki MotoGP SUZUKI,41:23:442,174.091
2008,AUS,11,5,24,Toni ELIAS,SPA,Alice,Team DUCATI,41:23:670,174.075
2008,AUS,12,4,13,Anthony WEST,AUS,Kawasaki,Racing Team KAWASAKI,41:44:451,172.63
2008,AUS,13,3,21,John HOPKINS,USA,Kawasaki,Racing Team KAWASAKI,41:44:976,172.594
2008,AUS,14,2,50,Sylvain GUINTOLI,FRA,Alice,Team DUCATI,41:45:542,172.555
2008,AUS,15,1,7,Chris VERMEULEN,AUS,Rizla,Suzuki MotoGP SUZUKI,41:45:578,172.553
2008,MAL,1,25,46,Valentino ROSSI,ITA,Fiat,Yamaha Team YAMAHA,43:06:007,162.191
2008,MAL,2,20,2,Dani PEDROSA,SPA,Repsol,Honda Team HONDA,43:10:015,161.94
2008,MAL,3,16,4,Andrea DOVIZIOSO,ITA,JiR,Team Scot MotoGP HONDA,43:14:543,161.658
2008,MAL,4,13,69,Nicky HAYDEN,USA,Repsol,Honda Team HONDA,43:14:865,161.638
2008,MAL,5,11,56,Shinya NAKANO,JPN,San,Carlo Honda Gresini HONDA,43:16:590,161.53
2008,MAL,6,10,1,Casey STONER,AUS,Ducati,Marlboro Team DUCATI,43:19:647,161.34
2008,MAL,7,9,65,Loris CAPIROSSI,ITA,Rizla,Suzuki MotoGP SUZUKI,43:21:943,161.198
2008,MAL,8,8,5,Colin EDWARDS,USA,Tech 3,Yamaha YAMAHA,43:24:809,161.02
2008,MAL,9,7,7,Chris VERMEULEN,AUS,Rizla,Suzuki MotoGP SUZUKI,43:29:181,160.751
2008,MAL,10,6,14,Randy DE PUNIET FRA,LCR,Honda,MotoGP HONDA,43:31:523,160.606
2008,MAL,11,5,21,John HOPKINS,USA,Kawasaki,Racing Team KAWASAKI,43:33:616,160.478
2008,MAL,12,4,13,Anthony WEST,AUS,Kawasaki,Racing Team KAWASAKI,43:47:406,159.636
2008,MAL,13,3,50,Sylvain GUINTOLI,FRA,Alice,Team DUCATI,43:51:624,159.38
2008,MAL,14,2,15,Alex DE ANGELIS,RSM,San,Carlo Honda Gresini HONDA,43:55:010,159.175
2008,MAL,15,1,24,Toni ELIAS,SPA,Alice,Team DUCATI,44:05:146,158.565
2012,VAL,1,25,26,Dani PEDROSA,SPA,Repsol,Honda Team HONDA,48:23:819,148.955
2012,VAL,2,20,21,Katsuyuki NAKASUGA,JPN,Yamaha,Factory Racing YAMAHA,49:01:480,147.048
2012,VAL,3,16,1,Casey STONER,AUS,Repsol,Honda Team HONDA,49:24:452,145.908
2012,VAL,4,13,19,Alvaro BAUTISTA,SPA,San,Carlo Honda Gresini HONDA,49:26:630,145.801
2012,VAL,5,11,51,Michele PIRRO,ITA,San,Carlo Honda Gresini FTR,49:50:427,144.641
2012,VAL,6,10,4,Andrea DOVIZIOSO,ITA,Monster Yamaha Tech 3,YAMAHA,49:54:242,144.457
2012,VAL,7,9,17,Karel ABRAHAM,CZE,Cardion,AB Motoracing DUCATI,49:55:608,144.391
2012,VAL,8,8,9,Danilo PETRUCCI,ITA,Came,IodaRacing Project IODA-SUTER,48:32:847,143.544
2012,VAL,9,7,77,James ELLISON,GBR,Paul,Bird Motorsport ART,48:41:030,143.141
2012,VAL,10,6,46,Valentino ROSSI,ITA,Ducati,Team DUCATI,48:45:740,142.911
2012,VAL,11,5,41,Aleix ESPARGARO,SPA,Power,Electronics Aspar ART,49:23:359,141.097
2012,VAL,12,4,14,Randy DE PUNIET,FRA,Power,Electronics Aspar ART,48:38:162,138.341
2012,VAL,13,3,73,Hiroshi AOYAMA,JPN,Avintia,Blusens BQR,49:13:795,136.672
2012,VAL,14,2,5,Colin EDWARDS USA,NGM,Mobile,Forward Racing SUTER,48:55:662,132.605
2012,ARA,1,25,26,Dani PEDROSA,SPA,Repsol,Honda Team HONDA,42:10:444,166.159
2012,ARA,2,20,99,Jorge LORENZO,SPA,Yamaha,Factory Racing YAMAHA,42:16:916,165.736
2012,ARA,3,16,4,Andrea DOVIZIOSO,ITA,Monster Yamaha Tech 3,YAMAHA,42:21:491,165.437
2012,ARA,4,13,35,Cal CRUTCHLOW,GBR,Monster Yamaha Tech 3,YAMAHA,42:21:628,165.428
2012,ARA,5,11,11,Ben SPIES,USA,Yamaha,Factory Racing YAMAHA,42:24:230,165.259
2012,ARA,6,10,19,Alvaro BAUTISTA,SPA,San,Carlo Honda Gresini HONDA,42:38:610,164.33
2012,ARA,7,9,56,Jonathan REA,GBR,Repsol,Honda Team HONDA,42:42:734,164.066
2012,ARA,8,8,46,Valentino ROSSI,ITA,Ducati,Team DUCATI,42:54:876,163.292
2012,ARA,9,7,17,Karel ABRAHAM,CZE,Cardion,AB Motoracing DUCATI,43:07:861,162.473
2012,ARA,10,6,41,Aleix ESPARGARO,SPA,Power,Electronics Aspar ART,43:08:969,162.403
2012,ARA,11,5,14,Randy DE PUNIET,FRA,Power,Electronics Aspar ART,43:10:307,162.319
2012,ARA,12,4,8,Hector BARBERA,SPA,Pramac,Racing Team DUCATI,43:25:005,161.404
2012,ARA,13,3,68,Yonny HERNANDEZ,COL,Avintia,Blusens BQR,43:26:603,161.305
2012,ARA,14,2,77,James ELLISON,GBR,Paul,Bird Motorsport ART,43:27:024,161.279
2012,ARA,15,1,51,Michele PIRRO,ITA,San,Carlo Honda Gresini FTR,43:36:259,160.709
2012,JPN,1,25,26,Dani PEDROSA,SPA,Repsol,Honda Team HONDA,42:31:569,162.569
2012,JPN,2,20,99,Jorge LORENZO,SPA,Yamaha,Factory Racing YAMAHA,42:35:844,162.297
2012,JPN,3,16,19,Alvaro BAUTISTA,SPA,San,Carlo Honda Gresini HONDA,42:38:321,162.14
2012,JPN,4,13,4,Andrea DOVIZIOSO,ITA,Monster Yamaha Tech 3,YAMAHA,42:47:966,161.531
2012,JPN,5,11,1,Casey STONER,AUS,Repsol,Honda Team HONDA,42:52:135,161.269
2012,JPN,6,10,6,Stefan BRADL GER,LCR,Honda,MotoGP HONDA,42:56:136,161.018
2012,JPN,7,9,46,Valentino ROSSI,ITA,Ducati,Team DUCATI,42:57:641,160.924
2012,JPN,8,8,69,Nicky HAYDEN,USA,Ducati,Team DUCATI,43:08:293,160.262
2012,JPN,9,7,21,Katsuyuki NAKASUGA JPN Yamaha,YSP,Racing,Team YAMAHA,43:08:363,160.258
2012,JPN,10,6,8,Hector BARBERA,SPA,Pramac,Racing Team DUCATI,43:42:298,158.184
2012,JPN,11,5,17,Karel ABRAHAM,CZE,Cardion,AB Motoracing DUCATI,43:47:227,157.887
2012,JPN,12,4,41,Aleix ESPARGARO,SPA,Power,Electronics Aspar ART,43:54:338,157.461
2012,JPN,13,3,5,Colin EDWARDS USA,NGM,Mobile,Forward Racing SUTER,43:56:537,157.33
2012,JPN,14,2,77,James ELLISON,GBR,Paul,Bird Motorsport ART,44:00:957,157.066
2012,JPN,15,1,51,Michele PIRRO,ITA,San,Carlo Honda Gresini FTR,44:06:181,156.756
2012,ITA,1,25,99,Jorge LORENZO,SPA,Yamaha,Factory Racing YAMAHA,41:37:477,173.889
2012,ITA,2,20,26,Dani PEDROSA,SPA,Repsol,Honda Team HONDA,41:42:700,173.526
2012,ITA,3,16,4,Andrea DOVIZIOSO,ITA,Monster Yamaha Tech 3,YAMAHA,41:48:142,173.15
2012,ITA,4,13,6,Stefan BRADL GER,LCR,Honda,MotoGP HONDA,41:48:188,173.147
2012,ITA,5,11,46,Valentino ROSSI,ITA,Ducati,Team DUCATI,41:49:172,173.079
2012,ITA,6,10,35,Cal CRUTCHLOW,GBR,Monster Yamaha Tech 3,YAMAHA,41:49:537,173.054
2012,ITA,7,9,69,Nicky HAYDEN,USA,Ducati,Team DUCATI,41:49:712,173.042
2012,ITA,8,8,1,Casey STONER,AUS,Repsol,Honda Team HONDA,42:08:094,171.783
2012,ITA,9,7,8,Hector BARBERA,SPA,Pramac,Racing Team DUCATI,42:09:205,171.708
2012,ITA,10,6,19,Alvaro BAUTISTA,SPA,San,Carlo Honda Gresini HONDA,42:12:066,171.514
2012,ITA,11,5,11,Ben SPIES,USA,Yamaha,Factory Racing YAMAHA,42:35:339,169.952
2012,ITA,12,4,14,Randy DE PUNIET,FRA,Power,Electronics Aspar ART,42:37:440,169.812
2012,ITA,13,3,41,Aleix ESPARGARO,SPA,Power,Electronics Aspar ART,42:48:677,169.069
2012,ITA,14,2,77,James ELLISON,GBR,Paul,Bird Motorsport ART,42:48:935,169.052
2012,ITA,15,1,54,Mattia PASINI,ITA,Speed,Master ART,42:49:305,169.028
2012,USA,1,25,1,Casey STONER,AUS,Repsol,Honda Team HONDA,43:45:961,158.369
2012,USA,2,20,99,Jorge LORENZO,SPA,Yamaha,Factory Racing YAMAHA,43:49:390,158.162
2012,USA,3,16,26,Dani PEDROSA,SPA,Repsol,Honda Team HONDA,43:53:594,157.91
2012,USA,4,13,4,Andrea DOVIZIOSO,ITA,Monster Yamaha Tech 3,YAMAHA,44:04:563,157.255
2012,USA,5,11,35,Cal CRUTCHLOW,GBR,Monster Yamaha Tech 3,YAMAHA,44:04:740,157.244
2012,USA,6,10,69,Nicky HAYDEN,USA,Ducati,Team DUCATI,44:12:863,156.763
2012,USA,7,9,6,Stefan BRADL GER,LCR,Honda,MotoGP HONDA,44:14:354,156.675
2012,USA,8,8,19,Alvaro BAUTISTA,SPA,San,Carlo Honda Gresini HONDA,44:36:207,155.396
2012,USA,9,7,41,Aleix ESPARGARO,SPA,Power,Electronics Aspar ART,45:04:954,153.744
2012,USA,10,6,17,Karel ABRAHAM,CZE,Cardion,AB Motoracing DUCATI,45:08:037,153.569
2012,USA,11,5,14,Randy DE PUNIET,FRA,Power,Electronics Aspar ART,43:47:392,153.336
2012,USA,12,4,68,Yonny HERNANDEZ,COL,Avintia,Blusens BQR,43:55:108,152.887
2012,USA,13,3,5,Colin EDWARDS USA,NGM,Mobile,Forward Racing SUTER,44:17:426,151.603
2012,USA,14,2,22,Ivan SILVA,SPA,Avintia,Blusens BQR,44:20:627,151.421
2012,QAT,1,25,99,Jorge LORENZO,SPA,Yamaha,Factory Racing YAMAHA,42:44:214,166.17
2012,QAT,2,20,26,Dani PEDROSA,SPA,Repsol,Honda Team HONDA,42:45:066,166.115
2012,QAT,3,16,1,Casey STONER,AUS,Repsol,Honda Team HONDA,42:47:122,165.981
2012,QAT,4,13,35,Cal CRUTCHLOW,GBR,Monster Yamaha Tech 3,YAMAHA,43:01:328,165.068
2012,QAT,5,11,4,Andrea DOVIZIOSO,ITA,Monster Yamaha Tech 3,YAMAHA,43:01:634,165.048
2012,QAT,6,10,69,Nicky HAYDEN,USA,Ducati,Team DUCATI,43:12:627,164.349
2012,QAT,7,9,19,Alvaro BAUTISTA,SPA,San,Carlo Honda Gresini HONDA,43:12:660,164.347
2012,QAT,8,8,6,Stefan BRADL GER,LCR,Honda,MotoGP HONDA,43:13:678,164.282
2012,QAT,9,7,8,Hector BARBERA,SPA,Pramac,Racing Team DUCATI,43:15:598,164.161
2012,QAT,10,6,46,Valentino ROSSI,ITA,Ducati,Team DUCATI,43:17:879,164.016
2012,QAT,11,5,11,Ben SPIES,USA,Yamaha,Factory Racing YAMAHA,43:41:121,162.562
2012,QAT,12,4,5,Colin EDWARDS USA,NGM,Mobile,Forward Racing SUTER,43:42:302,162.489
2012,QAT,13,3,14,Randy DE PUNIET,FRA,Power,Electronics Aspar ART,43:54:864,161.714
2012,QAT,14,2,68,Yonny HERNANDEZ,COL,Avintia,Blusens BQR-FTR,44:00:157,161.39
2012,QAT,15,1,41,Aleix ESPARGARO,SPA,Power,Electronics Aspar ART,44:10:947,160.733
2012,CAT,1,25,99,Jorge LORENZO,SPA,Yamaha,Factory Racing YAMAHA,43:07:681,164.405
2012,CAT,2,20,26,Dani PEDROSA,SPA,Repsol,Honda Team HONDA,43:12:684,164.088
2012,CAT,3,16,4,Andrea DOVIZIOSO,ITA,Monster Yamaha Tech 3,YAMAHA,43:17:042,163.813
2012,CAT,4,13,1,Casey STONER,AUS,Repsol,Honda Team HONDA,43:17:225,163.801
2012,CAT,5,11,35,Cal CRUTCHLOW,GBR,Monster Yamaha Tech 3,YAMAHA,43:20:187,163.615
2012,CAT,6,10,19,Alvaro BAUTISTA,SPA,San,Carlo Honda Gresini HONDA,43:21:629,163.524
2012,CAT,7,9,46,Valentino ROSSI,ITA,Ducati,Team DUCATI,43:25:236,163.298
2012,CAT,8,8,6,Stefan BRADL GER,LCR,Honda,MotoGP HONDA,43:31:159,162.927
2012,CAT,9,7,69,Nicky HAYDEN,USA,Ducati,Team DUCATI,43:38:091,162.496
2012,CAT,10,6,11,Ben SPIES,USA,Yamaha,Factory Racing YAMAHA,43:40:578,162.342
2012,CAT,11,5,8,Hector BARBERA,SPA,Pramac,Racing Team DUCATI,43:43:825,162.141
2012,CAT,12,4,17,Karel ABRAHAM,CZE,Cardion,AB Motoracing DUCATI,44:03:910,160.909
2012,CAT,13,3,41,Aleix ESPARGARO,SPA,Power,Electronics Aspar ART,44:15:735,160.192
2012,CAT,14,2,51,Michele PIRRO,ITA,San,Carlo Honda Gresini FTR,44:16:456,160.149
2012,CAT,15,1,14,Randy DE PUNIET,FRA,Power,Electronics Aspar ART,44:18:164,160.046
2012,NED,1,25,1,Casey STONER,AUS,Repsol,Honda Team HONDA,41:19:855,171.433
2012,NED,2,20,26,Dani PEDROSA,SPA,Repsol,Honda Team HONDA,41:24:820,171.091
2012,NED,3,16,4,Andrea DOVIZIOSO,ITA,Monster Yamaha Tech 3,YAMAHA,41:31:849,170.608
2012,NED,4,13,11,Ben SPIES,USA,Yamaha,Factory Racing YAMAHA,41:34:630,170.418
2012,NED,5,11,35,Cal CRUTCHLOW,GBR,Monster Yamaha Tech 3,YAMAHA,41:41:929,169.921
2012,NED,6,10,69,Nicky HAYDEN,USA,Ducati,Team DUCATI,41:51:515,169.272
2012,NED,7,9,8,Hector BARBERA,SPA,Pramac,Racing Team DUCATI,42:18:962,167.442
2012,NED,8,8,14,Randy DE PUNIET,FRA,Power,Electronics Aspar ART,42:24:296,167.091
2012,NED,9,7,51,Michele PIRRO,ITA,San,Carlo Honda Gresini FTR,42:26:835,166.925
2012,NED,10,6,54,Mattia PASINI,ITA,Speed,Master ART,42:44:942,165.746
2012,NED,11,5,9,Danilo PETRUCCI,ITA,Came,IodaRacing Project IODA,42:51:958,165.294
2012,NED,12,4,22,Ivan SILVA,SPA,Avintia,Blusens BQR,42:53:652,165.185
2012,NED,13,3,46,Valentino ROSSI,ITA,Ducati,Team DUCATI,41:38:492,163.61
2012,NED,14,2,77,James ELLISON,GBR,Paul,Bird Motorsport ART,41:38:494,163.61
2012,POR,1,25,1,Casey STONER,AUS,Repsol,Honda Team HONDA,45:37:513,153.988
2012,POR,2,20,99,Jorge LORENZO,SPA,Yamaha,Factory Racing YAMAHA,45:38:934,153.908
2012,POR,3,16,26,Dani PEDROSA,SPA,Repsol,Honda Team HONDA,45:41:134,153.785
2012,POR,4,13,4,Andrea DOVIZIOSO,ITA,Monster Yamaha Tech 3,YAMAHA,45:51:359,153.213
2012,POR,5,11,35,Cal CRUTCHLOW,GBR,Monster Yamaha Tech 3,YAMAHA,45:54:203,153.055
2012,POR,6,10,19,Alvaro BAUTISTA,SPA,San,Carlo Honda Gresini HONDA,45:59:397,152.767
2012,POR,7,9,46,Valentino ROSSI,ITA,Ducati,Team DUCATI,46:04:310,152.495
2012,POR,8,8,11,Ben SPIES,USA,Yamaha,Factory Racing YAMAHA,46:10:775,152.139
2012,POR,9,7,6,Stefan BRADL GER,LCR,Honda,MotoGP HONDA,46:13:380,151.997
2012,POR,10,6,8,Hector BARBERA,SPA,Pramac,Racing Team DUCATI,46:30:876,151.044
2012,POR,11,5,69,Nicky HAYDEN,USA,Ducati,Team DUCATI,46:40:143,150.544
2012,POR,12,4,41,Aleix ESPARGARO,SPA,Power,Electronics Aspar ART,46:58:249,149.577
2012,POR,13,3,14,Randy DE PUNIET,FRA,Power,Electronics Aspar ART,47:00:996,149.431
2012,POR,14,2,51,Michele PIRRO,ITA,San,Carlo Honda Gresini FTR,47:15:418,148.671
2012,POR,15,1,9,Danilo PETRUCCI,ITA,Came,IodaRacing Project IODA,46:01:358,147.206
2012,GER,1,25,26,Dani PEDROSA,SPA,Repsol,Honda Team HONDA,41:28:396,159.326
2012,GER,2,20,99,Jorge LORENZO,SPA,Yamaha,Factory Racing YAMAHA,41:43:392,158.372
2012,GER,3,16,4,Andrea DOVIZIOSO,ITA,Monster Yamaha Tech 3,YAMAHA,41:49:065,158.014
2012,GER,4,13,11,Ben SPIES,USA,Yamaha,Factory Racing YAMAHA,41:49:136,158.009
2012,GER,5,11,6,Stefan BRADL GER,LCR,Honda,MotoGP HONDA,41:56:289,157.56
2012,GER,6,10,46,Valentino ROSSI,ITA,Ducati,Team DUCATI,41:56:446,157.55
2012,GER,7,9,19,Alvaro BAUTISTA,SPA,San,Carlo Honda Gresini HONDA,41:56:642,157.538
2012,GER,8,8,35,Cal CRUTCHLOW,GBR,Monster Yamaha Tech 3,YAMAHA,41:56:843,157.525
2012,GER,9,7,8,Hector BARBERA,SPA,Pramac,Racing Team DUCATI,41:57:449,157.487
2012,GER,10,6,69,Nicky HAYDEN,USA,Ducati,Team DUCATI,41:57:622,157.477
2012,GER,11,5,14,Randy DE PUNIET,FRA,Power,Electronics Aspar ART,42:21:572,155.993
2012,GER,12,4,5,Colin EDWARDS USA,NGM,Mobile,Forward Racing SUTER,42:26:600,155.685
2012,GER,13,3,41,Aleix ESPARGARO,SPA,Power,Electronics Aspar ART,42:33:050,155.291
2012,GER,14,2,68,Yonny HERNANDEZ,COL,Avintia,Blusens BQR,42:41:939,154.753
2012,GER,15,1,77,James ELLISON,GBR,Paul,Bird Motorsport ART,42:58:714,153.746
2012,FRA,1,25,99,Jorge LORENZO,SPA,Yamaha,Factory Racing YAMAHA,49:39:743,141.571
2012,FRA,2,20,46,Valentino ROSSI,ITA,Ducati,Team DUCATI,49:49:648,141.102
2012,FRA,3,16,1,Casey STONER,AUS,Repsol,Honda Team HONDA,49:51:041,141.037
2012,FRA,4,13,26,Dani PEDROSA,SPA,Repsol,Honda Team HONDA,50:09:104,140.19
2012,FRA,5,11,6,Stefan BRADL GER,LCR,Honda,MotoGP HONDA,50:12:220,140.045
2012,FRA,6,10,69,Nicky HAYDEN,USA,Ducati,Team DUCATI,50:12:585,140.028
2012,FRA,7,9,4,Andrea DOVIZIOSO,ITA,Monster Yamaha Tech 3,YAMAHA,50:39:502,138.788
2012,FRA,8,8,35,Cal CRUTCHLOW,GBR,Monster Yamaha Tech 3,YAMAHA,50:44:895,138.542
2012,FRA,9,7,8,Hector BARBERA,SPA,Pramac,Racing Team DUCATI,50:47:589,138.42
2012,FRA,10,6,19,Alvaro BAUTISTA,SPA,San,Carlo Honda Gresini HONDA,50:52:936,138.177
2012,FRA,11,5,77,James ELLISON,GBR,Paul,Bird Motorsport ART,51:06:406,137.57
2012,FRA,12,4,54,Mattia PASINI,ITA,Speed,Master ART,51:07:376,137.527
2012,FRA,13,3,41,Aleix ESPARGARO,SPA,Power,Electronics Aspar ART,49:55:456,135.799
2012,FRA,14,2,51,Michele PIRRO,ITA,San,Carlo Honda Gresini FTR,50:03:709,135.426
2012,FRA,15,1,68,Yonny HERNANDEZ,COL,Avintia,Blusens BQR,50:13:248,134.997
2012,GBR,1,25,99,Jorge LORENZO,SPA,Yamaha,Factory Racing YAMAHA,41:16:429,171.537
2012,GBR,2,20,1,Casey STONER,AUS,Repsol,Honda Team HONDA,41:19:742,171.308
2012,GBR,3,16,26,Dani PEDROSA,SPA,Repsol,Honda Team HONDA,41:20:028,171.288
2012,GBR,4,13,19,Alvaro BAUTISTA,SPA,San,Carlo Honda Gresini HONDA,41:21:625,171.178
2012,GBR,5,11,11,Ben SPIES,USA,Yamaha,Factory Racing YAMAHA,41:27:960,170.742
2012,GBR,6,10,35,Cal CRUTCHLOW,GBR,Monster Yamaha Tech 3,YAMAHA,41:31:541,170.496
