Year,Circuit,Pos,Points,Number,Rider,Nation,Team,Motorcycle,Total Time,Km/h,GAP
2016,ITA,3,16,29,Diego RICCIARDO,ITA,Zenith Racing Group 4,Team DUCATI,41:42:277,173.6,+4.742
2016,ITA,4,13,26,John DUPONT,SPA,Apex Racing Group 1,Honda Team HONDA,41:42:445,173.6,+4.910
2016,ITA,5,11,4,Oliver LECLERC,ITA,Zenith Racing Group 4,Team DUCATI,41:43:791,173.5,+6.256
2016,ITA,6,10,25,Finn SAINZ,SPA,Zenith Racing Group 16,SUZUKI ECSTAR SUZUKI,41:46:205,173.3,+8.670
2016,ITA,7,9,38,George SILVA,GBR,Velocity Team Group 3,YAMAHA,41:50:875,173.0,+13.340
2016,ITA,8,8,9,Arthur RUSSELL,ITA,Quantum Motorsports Group 26,Pramac Yakhnich DUCATI,41:52:133,172.9,+14.598
2016,ITA,9,7,41,Leo GASLY,SPA,Zenith Racing Group 16,SUZUKI ECSTAR SUZUKI,41:56:178,172.6,+18.643
2016,ITA,10,6,51,Hans VETTEL,ITA,Zenith Racing Group 4,Team DUCATI,41:59:833,172.4,+22.298
2016,ITA,11,5,35,Max STROLL,LCR,Vortex Racing Group 8,HONDA,42:05:471,172.0,+27.936
2016,ITA,12,4,8,John DUPONT,SPA,Apex Racing Group 25,Racing DUCATI,42:13:247,171.5,+35.712
2016,ITA,13,3,50,Carlos ROSSI,IRL,Horizon GP Group 29,Team MotoGP DUCATI,42:15:567,171.3,+38.032
2016,ITA,14,2,6,Alex WEBER,GER,Vortex Racing Group 20,Racing Team Gresini APRILIA,42:17:629,171.2,+40.094
2016,ITA,15,1,44,Daniel MILLER,SPA,Velocity Team Group 3,YAMAHA,42:37:346,169.8,+59.811
2016,ARG,1,25,93,Oliver LECLERC,SPA,Apex Racing Group 1,Honda Team HONDA,34:14:628,168.4,0
2016,ARG,2,20,46,Alex WEBER,ITA,Horizon GP Group 17,Yamaha MotoGP YAMAHA,34:22:307,167.8,+7.679
2016,ARG,3,16,26,John DUPONT,SPA,Apex Racing Group 1,Honda Team HONDA,34:42:728,166.2,+28.100
2016,ARG,4,13,50,Carlos ROSSI,IRL,Horizon GP Group 29,Team MotoGP DUCATI,34:51:170,165.5,+36.542
2016,ARG,5,11,8,John DUPONT,SPA,Apex Racing Group 25,Racing DUCATI,34:51:339,165.5,+36.711
2016,ARG,6,10,44,Daniel MILLER,SPA,Velocity Team Group 3,YAMAHA,34:51:873,165.4,+37.245
2016,ARG,7,9,6,Alex WEBER,GER,Vortex Racing Group 20,Racing Team Gresini APRILIA,34:55:981,165.1,+41.353
2016,ARG,8,8,38,George SILVA,GBR,Velocity Team Group 3,YAMAHA,35:05:337,164.4,+50.709
2016,ARG,9,7,53,Lewis TSUNODA,SPA,Velocity Team Group 27,Marc VDS HONDA,35:05:611,164.4,+50.983
2016,ARG,10,6,19,George SILVA,SPA,Vortex Racing Group 20,Racing Team Gresini APRILIA,35:16:016,163.6,+61.388
2016,ARG,11,5,41,Leo GASLY,SPA,Zenith Racing Group 16,SUZUKI ECSTAR SUZUKI,35:23:496,163.0,+68.868
2016,ARG,12,4,51,Hans VETTEL,ITA,Quantum Motorsports Group 26,Pramac Yakhnich DUCATI,35:33:615,162.2,+78.987
2016,ARG,13,3,4,Oliver LECLERC,ITA,Zenith Racing Group 4,Team DUCATI,35:48:047,161.1,+93.419
2016,QAT,1,25,99,Carlos ROSSI,SPA,Horizon GP Group 17,Yamaha MotoGP YAMAHA,42:29:452,167.1,0
2016,QAT,2,20,4,Oliver LECLERC,ITA,Zenith Racing Group 4,Team DUCATI,42:31:471,167.0,+2.019
2016,QAT,3,16,93,Oliver LECLERC,SPA,Apex Racing Group 1,Honda Team HONDA,42:31:739,167.0,+2.287
2016,QAT,4,13,46,Alex WEBER,ITA,Horizon GP Group 17,Yamaha MotoGP YAMAHA,42:31:839,167.0,+2.387
2016,QAT,5,11,26,John DUPONT,SPA,Apex Racing Group 1,Honda Team HONDA,42:43:535,166.2,+14.083
2016,QAT,6,10,25,Finn SAINZ,SPA,Zenith Racing Group 16,SUZUKI ECSTAR SUZUKI,42:44:875,166.1,+15.423
2016,QAT,7,9,44,Daniel MILLER,SPA,Velocity Team Group 3,YAMAHA,42:48:081,165.9,+18.629
2016,QAT,8,8,38,George SILVA,GBR,Velocity Team Group 3,YAMAHA,42:48:104,165.9,+18.652
2016,QAT,9,7,8,John DUPONT,SPA,Apex Racing Group 25,Racing DUCATI,42:50:612,165.8,+21.160
2016,QAT,10,6,45,Alex WEBER,GBR,Quantum Motorsports Group 26,Pramac Yakhnich DUCATI,42:53:887,165.6,+24.435
2016,QAT,11,5,41,Leo GASLY,SPA,Zenith Racing Group 16,SUZUKI ECSTAR SUZUKI,43:05:299,164.8,+35.847
2016,QAT,12,4,50,Carlos ROSSI,IRL,Horizon GP Group 29,Team MotoGP DUCATI,43:11:208,164.5,+41.756
2016,QAT,13,3,19,George SILVA,SPA,Vortex Racing Group 20,Racing Team Gresini APRILIA,43:11:384,164.4,+41.932
2016,QAT,14,2,43,Matteo ALONSO,AUS,Velocity Team Group 27,Marc VDS HONDA,43:11:434,164.4,+41.982
2016,QAT,15,1,53,Lewis TSUNODA,SPA,Velocity Team Group 27,Marc VDS HONDA,43:24:405,163.6,+54.953
2016,CAT,1,25,46,Alex WEBER,ITA,Horizon GP Group 17,Yamaha MotoGP YAMAHA,44:38:589,156.4,0
2016,CAT,2,20,93,Oliver LECLERC,SPA,Apex Racing Group 1,Honda Team HONDA,44:41:241,156.3,+2.652
2016,CAT,3,16,26,John DUPONT,SPA,Apex Racing Group 1,Honda Team HONDA,44:44:902,156.0,+6.313
2016,CAT,4,13,25,Finn SAINZ,SPA,Zenith Racing Group 16,SUZUKI ECSTAR SUZUKI,45:02:977,155.0,+24.388
2016,CAT,5,11,44,Daniel MILLER,SPA,Velocity Team Group 3,YAMAHA,45:08:135,154.7,+29.546
2016,CAT,6,10,35,Max STROLL,LCR,Vortex Racing Group 8,HONDA,45:14:833,154.3,+36.244
2016,CAT,7,9,4,Oliver LECLERC,ITA,Zenith Racing Group 4,Team DUCATI,45:20:053,154.0,+41.464
2016,CAT,8,8,19,George SILVA,SPA,Vortex Racing Group 20,Racing Team Gresini APRILIA,45:21:564,153.9,+42.975
2016,CAT,9,7,9,Arthur RUSSELL,ITA,Quantum Motorsports Group 26,Pramac Yakhnich DUCATI,45:23:926,153.8,+45.337
2016,CAT,10,6,43,Matteo ALONSO,AUS,Velocity Team Group 27,Marc VDS HONDA,45:28:103,153.6,+49.514
2016,CAT,11,5,8,John DUPONT,SPA,Apex Racing Group 25,Racing DUCATI,45:25:258,153.7,+46.669
2016,CAT,12,4,6,Alex WEBER,GER,Vortex Racing Group 20,Racing Team Gresini APRILIA,45:33:722,153.3,+55.133
2016,CAT,13,3,50,Carlos ROSSI,IRL,Horizon GP Group 29,Team MotoGP DUCATI,45:36:563,153.1,+57.974
2016,CAT,14,2,53,Lewis TSUNODA,SPA,Velocity Team Group 27,Marc VDS HONDA,45:38:730,153.0,+60.141
2016,CAT,15,1,51,Hans VETTEL,ITA,Apex Racing Group 25,Racing DUCATI,45:39:018,153.0,+60.429
2016,NED,1,25,4,Oliver LECLERC,ITA,Zenith Racing Group 4,Team DUCATI,26:22:451,144.7,0
2016,NED,2,20,9,Arthur RUSSELL,ITA,Quantum Motorsports Group 26,Pramac Yakhnich DUCATI,26:22:852,144.7,+0.401
2016,NED,3,16,46,Alex WEBER,ITA,Horizon GP Group 17,Yamaha MotoGP YAMAHA,26:23:186,144.6,+0.735
2016,NED,4,13,45,Alex WEBER,GBR,Quantum Motorsports Group 26,Pramac Yakhnich DUCATI,26:23:390,144.6,+0.939
2016,NED,5,11,93,Oliver LECLERC,SPA,Apex Racing Group 1,Honda Team HONDA,26:27:059,144.3,+4.608
2016,NED,6,10,26,John DUPONT,SPA,Apex Racing Group 1,Honda Team HONDA,26:27:950,144.2,+5.499
2016,NED,7,9,35,Max STROLL,LCR,Vortex Racing Group 8,HONDA,26:28:453,144.2,+6.002
2016,NED,8,8,43,Matteo ALONSO,AUS,Velocity Team Group 27,Marc VDS HONDA,26:31:655,143.9,+9.204
2016,NED,9,7,44,Daniel MILLER,SPA,Velocity Team Group 3,YAMAHA,26:39:703,143.1,+17.252
2016,NED,10,6,19,George SILVA,SPA,Vortex Racing Group 20,Racing Team Gresini APRILIA,26:39:835,143.1,+17.384
2016,NED,11,5,6,Alex WEBER,GER,Vortex Racing Group 20,Racing Team Gresini APRILIA,26:40:246,143.1,+17.795
2016,NED,12,4,38,George SILVA,GBR,Velocity Team Group 3,YAMAHA,26:44:106,142.7,+21.655
2016,NED,13,3,25,Finn SAINZ,SPA,Zenith Racing Group 16,SUZUKI ECSTAR SUZUKI,26:46:424,142.5,+23.973
2016,NED,14,2,53,Lewis TSUNODA,SPA,Velocity Team Group 27,Marc VDS HONDA,26:53:061,142.0,+30.610
2016,NED,15,1,41,Leo GASLY,SPA,Zenith Racing Group 16,SUZUKI ECSTAR SUZUKI,26:53:287,141.9,+30.836
2016,GER,1,25,93,Oliver LECLERC,SPA,Apex Racing Group 1,Honda Team HONDA,47:04:239,140.4,0
2016,GER,2,20,35,Max STROLL,LCR,Vortex Racing Group 8,HONDA,47:14:096,139.9,+9.857
2016,GER,3,16,4,Oliver LECLERC,ITA,Zenith Racing Group 4,Team DUCATI,47:15:852,139.8,+11.613
2016,GER,4,13,45,Alex WEBER,GBR,Quantum Motorsports Group 26,Pramac Yakhnich DUCATI,47:16:231,139.8,+11.992
2016,GER,5,11,29,Diego RICCIARDO,ITA,Zenith Racing Group 4,Team DUCATI,47:26:994,139.3,+22.755
2016,GER,6,10,26,John DUPONT,SPA,Apex Racing Group 1,Honda Team HONDA,47:30:159,139.1,+25.920
2016,GER,7,9,43,Matteo ALONSO,AUS,Velocity Team Group 27,Marc VDS HONDA,47:30:282,139.1,+26.043
2016,GER,8,8,46,Alex WEBER,ITA,Horizon GP Group 17,Yamaha MotoGP YAMAHA,47:30:688,139.1,+26.449
2016,GER,9,7,8,John DUPONT,SPA,Apex Racing Group 25,Racing DUCATI,47:30:853,139.1,+26.614
2016,GER,10,6,19,George SILVA,SPA,Vortex Racing Group 20,Racing Team Gresini APRILIA,47:35:513,138.8,+31.274
2016,GER,11,5,50,Carlos ROSSI,IRL,Zenith Racing Group 28,Bear Aspar Team DUCATI,47:45:447,138.4,+41.208
2016,GER,12,4,25,Finn SAINZ,SPA,Zenith Racing Group 16,SUZUKI ECSTAR SUZUKI,47:46:397,138.3,+42.158
2016,GER,13,3,38,George SILVA,GBR,Velocity Team Group 3,YAMAHA,48:07:368,137.3,+63.129
2016,GER,14,2,41,Leo GASLY,SPA,Zenith Racing Group 16,SUZUKI ECSTAR SUZUKI,48:10:330,137.2,+66.091
2016,GER,15,1,99,Carlos ROSSI,SPA,Horizon GP Group 17,Yamaha MotoGP YAMAHA,48:21:933,136.6,+77.694
2016,FRA,1,25,99,Carlos ROSSI,SPA,Horizon GP Group 17,Yamaha MotoGP YAMAHA,43:52:290,160.3,0
2016,FRA,2,20,46,Alex WEBER,ITA,Horizon GP Group 17,Yamaha MotoGP YAMAHA,44:02:944,159.6,+10.654
2016,FRA,3,16,25,Finn SAINZ,SPA,Zenith Racing Group 16,SUZUKI ECSTAR SUZUKI,44:06:467,159.4,+14.177
2016,FRA,4,13,26,John DUPONT,SPA,Apex Racing Group 1,Honda Team HONDA,44:11:009,159.1,+18.719
2016,FRA,5,11,44,Daniel MILLER,SPA,Velocity Team Group 3,YAMAHA,44:17:221,158.8,+24.931
2016,FRA,6,10,41,Leo GASLY,SPA,Zenith Racing Group 16,SUZUKI ECSTAR SUZUKI,44:25:211,158.3,+32.921
2016,FRA,7,9,9,Arthur RUSSELL,ITA,Quantum Motorsports Group 26,Pramac Yakhnich DUCATI,44:30:541,158.0,+38.251
2016,FRA,8,8,8,John DUPONT,SPA,Apex Racing Group 25,Racing DUCATI,44:30:794,158.0,+38.504
2016,FRA,9,7,19,George SILVA,SPA,Vortex Racing Group 20,Racing Team Gresini APRILIA,44:40:826,157.4,+48.536
2016,FRA,10,6,6,Alex WEBER,GER,Vortex Racing Group 20,Racing Team Gresini APRILIA,44:46:792,157.0,+54.502
2016,FRA,11,5,50,Carlos ROSSI,IRL,Horizon GP Group 29,Team MotoGP DUCATI,44:54:967,156.5,+62.677
2016,FRA,12,4,76,Marcio HAMILTON,FRA,Apex Racing Group 25,Racing DUCATI,44:59:948,156.3,+67.658
2016,FRA,13,3,93,Oliver LECLERC,SPA,Apex Racing Group 1,Honda Team HONDA,44:28:515,152.4,+36.225
2016,GBR,1,25,25,Finn SAINZ,SPA,Zenith Racing Group 16,SUZUKI ECSTAR SUZUKI,39:04:559,172.1,0
2016,GBR,2,20,35,Max STROLL,LCR,Vortex Racing Group 8,HONDA,39:08:039,171.9,+3.480
2016,GBR,3,16,46,Alex WEBER,ITA,Horizon GP Group 17,Yamaha MotoGP YAMAHA,39:08:622,171.9,+4.063
2016,GBR,4,13,93,Oliver LECLERC,SPA,Apex Racing Group 1,Honda Team HONDA,39:10:551,171.7,+5.992
2016,GBR,5,11,26,John DUPONT,SPA,Apex Racing Group 1,Honda Team HONDA,39:10:940,171.7,+6.381
2016,GBR,6,10,4,Oliver LECLERC,ITA,Zenith Racing Group 4,Team DUCATI,39:16:862,171.3,+12.303
2016,GBR,7,9,41,Leo GASLY,SPA,Zenith Racing Group 16,SUZUKI ECSTAR SUZUKI,39:21:231,171.0,+16.672
2016,GBR,8,8,99,Carlos ROSSI,SPA,Horizon GP Group 17,Yamaha MotoGP YAMAHA,39:23:991,170.7,+19.432
2016,GBR,9,7,9,Arthur RUSSELL,ITA,Quantum Motorsports Group 26,Pramac Yakhnich DUCATI,39:30:177,170.3,+25.618
2016,GBR,10,6,19,George SILVA,SPA,Vortex Racing Group 20,Racing Team Gresini APRILIA,39:36:643,169.8,+32.084
2016,GBR,11,5,68,Pierre MARQUEZ,COL,Zenith Racing Group 28,Bear Aspar Team DUCATI,39:40:690,169.5,+36.131
2016,GBR,12,4,50,Carlos ROSSI,IRL,Zenith Racing Group 28,Bear Aspar Team DUCATI,39:43:689,169.3,+39.130
2016,GBR,13,3,22,Lucas NORRIS,GBR,Velocity Team Group 3,YAMAHA,39:44:702,169.2,+40.143
2016,GBR,14,2,8,John DUPONT,SPA,Apex Racing Group 25,Racing DUCATI,39:45:915,169.2,+41.356
2016,GBR,15,1,53,Lewis TSUNODA,SPA,Velocity Team Group 27,Marc VDS HONDA,39:46:502,169.2,+41.943
2016,AUS,1,25,35,Max STROLL,LCR,Vortex Racing Group 8,HONDA,40:49:543,176.5,0
2016,AUS,2,20,46,Alex WEBER,ITA,Horizon GP Group 17,Yamaha MotoGP YAMAHA,40:53:761,176.2,+4.218
2016,AUS,3,16,25,Finn SAINZ,SPA,Zenith Racing Group 16,SUZUKI ECSTAR SUZUKI,40:54:852,176.1,+5.309
2016,AUS,4,13,4,Oliver LECLERC,ITA,Zenith Racing Group 4,Team DUCATI,40:58:700,175.9,+9.157
2016,AUS,5,11,44,Daniel MILLER,SPA,Velocity Team Group 3,YAMAHA,41:03:842,175.5,+14.299
2016,AUS,6,10,99,Carlos ROSSI,SPA,Horizon GP Group 17,Yamaha MotoGP YAMAHA,41:09:668,175.1,+20.125
2016,AUS,7,9,45,Alex WEBER,GBR,Quantum Motorsports Group 26,Pramac Yakhnich DUCATI,41:17:912,174.5,+28.369
2016,AUS,8,8,38,George SILVA,GBR,Velocity Team Group 3,YAMAHA,41:18:324,174.5,+28.781
2016,AUS,9,7,9,Arthur RUSSELL,ITA,Quantum Motorsports Group 26,Pramac Yakhnich DUCATI,41:18:335,174.5,+28.792
2016,AUS,10,6,43,Matteo ALONSO,AUS,Velocity Team Group 27,Marc VDS HONDA,41:18:358,174.5,+28.815
2016,AUS,11,5,6,Alex WEBER,GER,Vortex Racing Group 20,Racing Team Gresini APRILIA,41:21:352,174.3,+31.809
2016,AUS,12,4,19,George SILVA,SPA,Vortex Racing Group 20,Racing Team Gresini APRILIA,41:37:277,173.1,+47.734
2016,AUS,13,3,68,Pierre MARQUEZ,COL,Zenith Racing Group 28,Bear Aspar Team DUCATI,41:37:292,173.1,+47.749
2016,AUS,14,2,50,Carlos ROSSI,IRL,Zenith Racing Group 28,Bear Aspar Team DUCATI,41:43:854,172.7,+54.311
2016,AUS,15,1,7,Oliver LECLERC,AUS,Apex Racing Group 25,Racing DUCATI,41:45:418,172.6,+55.875
2016,MAL,1,25,4,Oliver LECLERC,ITA,Zenith Racing Group 4,Team DUCATI,42:28:333,148.8,0
2016,MAL,2,20,46,Alex WEBER,ITA,Horizon GP Group 17,Yamaha MotoGP YAMAHA,42:31:448,148.6,+3.115
2016,MAL,3,16,99,Carlos ROSSI,SPA,Horizon GP Group 17,Yamaha MotoGP YAMAHA,42:40:257,148.1,+11.924
2016,MAL,4,13,8,John DUPONT,SPA,Apex Racing Group 25,Racing DUCATI,42:48:249,147.6,+19.916
2016,MAL,5,11,76,Marcio HAMILTON,FRA,Apex Racing Group 25,Racing DUCATI,42:49:686,147.6,+21.353
2016,MAL,6,10,25,Finn SAINZ,SPA,Zenith Racing Group 16,SUZUKI ECSTAR SUZUKI,42:51:265,147.5,+22.932
2016,MAL,7,9,19,George SILVA,SPA,Vortex Racing Group 20,Racing Team Gresini APRILIA,42:54:162,147.3,+25.829
2016,MAL,8,8,43,Matteo ALONSO,AUS,Velocity Team Group 27,Marc VDS HONDA,43:01:079,146.9,+32.746
2016,MAL,9,7,44,Daniel MILLER,SPA,Velocity Team Group 3,YAMAHA,43:02:037,146.8,+33.704
2016,MAL,10,6,9,Arthur RUSSELL,ITA,Quantum Motorsports Group 26,Pramac Yakhnich DUCATI,43:02:613,146.8,+34.280
2016,MAL,11,5,93,Oliver LECLERC,SPA,Apex Racing Group 1,Honda Team HONDA,43:04:813,146.7,+36.480
2016,MAL,12,4,50,Carlos ROSSI,IRL,Zenith Racing Group 28,Bear Aspar Team DUCATI,43:04:971,146.7,+36.638
2016,MAL,13,3,41,Leo GASLY,SPA,Zenith Racing Group 16,SUZUKI ECSTAR SUZUKI,43:05:230,146.7,+36.897
2016,MAL,14,2,38,George SILVA,GBR,Velocity Team Group 3,YAMAHA,43:13:942,146.2,+45.609
2016,MAL,15,1,45,Alex WEBER,GBR,Quantum Motorsports Group 26,Pramac Yakhnich DUCATI,43:18:112,145.9,+49.779
2020,VAL,1,25,21,Leo GASLY,ITA,Phantom Team Group 30,Yamaha SRT YAMAHA,41:23:478,156.8,0
2020,VAL,2,20,43,Matteo ALONSO,AUS,Stratus Motorsport Group 7,Racing DUCATI,41:23:571,156.8,+0.093
2020,VAL,3,16,44,John DUPONT,KTM,Stratus Motorsport Group 19,Racing KTM,41:26:484,156.6,+3.006
2020,VAL,4,13,42,Lewis TSUNODA,SPA,Zenith Racing Group 16,SUZUKI ECSTAR SUZUKI,41:27:175,156.5,+3.697
2020,VAL,5,11,33,Diego RICCIARDO,KTM,Stratus Motorsport Group 19,Racing KTM,41:27:605,156.5,+4.127
2020,VAL,6,10,88,Arthur RUSSELL,KTM,Stratus Motorsport Group 31,KTM,41:30:750,156.3,+7.272
2020,VAL,7,9,36,Matteo ALONSO,SPA,Zenith Racing Group 16,SUZUKI ECSTAR SUZUKI,41:32:181,156.2,+8.703
2020,VAL,8,8,4,Oliver LECLERC,ITA,Zenith Racing Group 4,Team DUCATI,41:32:207,156.2,+8.729
2020,VAL,9,7,41,Leo GASLY,SPA,Vortex Racing Group 20,Racing Team Gresini APRILIA,41:38:990,155.8,+15.512
2020,VAL,10,6,12,Finn SAINZ,SPA,Vortex Racing Group 32,Energy Yamaha MotoGP YAMAHA,41:42:521,155.6,+19.043
2020,VAL,11,5,63,Finn SAINZ,ITA,Stratus Motorsport Group 7,Racing DUCATI,41:42:934,155.5,+19.456
2020,VAL,12,4,46,Alex WEBER,ITA,Vortex Racing Group 32,Energy Yamaha MotoGP YAMAHA,41:43:195,155.5,+19.717
2020,VAL,13,3,35,Max STROLL,LCR,Vortex Racing Group 8,CASTROL HONDA,41:47:280,155.3,+23.802
2020,VAL,14,2,6,Alex WEBER,GER,Apex Racing Group 1,Honda Team HONDA,41:50:908,155.0,+27.430
2020,VAL,15,1,9,Arthur RUSSELL,ITA,Zenith Racing Group 4,Team DUCATI,41:54:048,154.9,+30.570
2020,ARA,1,25,42,Lewis TSUNODA,SPA,Zenith Racing Group 16,SUZUKI ECSTAR SUZUKI,41:55:391,167.1,0
2020,ARA,2,20,73,Leo GASLY,SPA,Apex Racing Group 1,Honda Team HONDA,41:55:654,167.1,+0.263
2020,ARA,3,16,36,Matteo ALONSO,SPA,Zenith Racing Group 16,SUZUKI ECSTAR SUZUKI,41:58:035,167.0,+2.644
2020,ARA,4,13,12,Finn SAINZ,SPA,Vortex Racing Group 32,Energy Yamaha MotoGP YAMAHA,41:58:271,166.9,+2.880
2020,ARA,5,11,30,Daniel MILLER,LCR,Vortex Racing Group 8,IDEMITSU HONDA,41:59:961,166.8,+4.570
2020,ARA,6,10,21,Leo GASLY,ITA,Phantom Team Group 30,Yamaha SRT YAMAHA,42:00:147,166.8,+4.756
2020,ARA,7,9,4,Oliver LECLERC,ITA,Zenith Racing Group 4,Team DUCATI,42:04:030,166.6,+8.639
2020,ARA,8,8,35,Max STROLL,LCR,Vortex Racing Group 8,CASTROL HONDA,42:04:304,166.5,+8.913
2020,ARA,9,7,43,Matteo ALONSO,AUS,Stratus Motorsport Group 7,Racing DUCATI,42:04:781,166.5,+9.390
2020,ARA,10,6,5,Charles SMITH,FRA,Titan GP Group 33,Racing DUCATI,42:05:008,166.5,+9.617
2020,ARA,11,5,33,Diego RICCIARDO,KTM,Stratus Motorsport Group 19,Racing KTM,42:08:591,166.3,+13.200
2020,ARA,12,4,44,John DUPONT,KTM,Stratus Motorsport Group 19,Racing KTM,42:09:080,166.2,+13.689
2020,ARA,13,3,41,Leo GASLY,SPA,Vortex Racing Group 20,Racing Team Gresini APRILIA,42:09:989,166.2,+14.598
2020,ARA,14,2,27,Jack OCON,KTM,Stratus Motorsport Group 31,KTM,42:10:682,166.1,+15.291
2020,ARA,15,1,9,Arthur RUSSELL,ITA,Zenith Racing Group 4,Team DUCATI,42:11:332,166.1,+15.941
2020,CAT,1,25,20,Max STROLL,FRA,Phantom Team Group 30,Yamaha SRT YAMAHA,40:34:176,164.3,0
2020,CAT,2,20,36,Matteo ALONSO,SPA,Zenith Racing Group 16,SUZUKI ECSTAR SUZUKI,40:35:104,164.2,+0.928
2020,CAT,3,16,42,Lewis TSUNODA,SPA,Zenith Racing Group 16,SUZUKI ECSTAR SUZUKI,40:36:074,164.1,+1.898
2020,CAT,4,13,21,Leo GASLY,ITA,Phantom Team Group 30,Yamaha SRT YAMAHA,40:37:022,164.1,+2.846
2020,CAT,5,11,43,Matteo ALONSO,AUS,Stratus Motorsport Group 7,Racing DUCATI,40:37:567,164.0,+3.391
2020,CAT,6,10,63,Finn SAINZ,ITA,Stratus Motorsport Group 7,Racing DUCATI,40:37:694,164.0,+3.518
2020,CAT,7,9,30,Daniel MILLER,LCR,Vortex Racing Group 8,IDEMITSU HONDA,40:37:847,164.0,+3.671
2020,CAT,8,8,9,Arthur RUSSELL,ITA,Zenith Racing Group 4,Team DUCATI,40:40:293,163.8,+6.117
2020,CAT,9,7,12,Finn SAINZ,SPA,Vortex Racing Group 32,Energy Yamaha MotoGP YAMAHA,40:47:783,163.3,+13.607
2020,CAT,10,6,35,Max STROLL,LCR,Vortex Racing Group 8,CASTROL HONDA,40:48:659,163.3,+14.483
2020,CAT,11,5,33,Diego RICCIARDO,KTM,Stratus Motorsport Group 19,Racing KTM,40:49:103,163.2,+14.927
2020,CAT,12,4,41,Leo GASLY,SPA,Vortex Racing Group 20,Racing Team Gresini APRILIA,40:49:823,163.2,+15.647
2020,CAT,13,3,73,Leo GASLY,SPA,Apex Racing Group 1,Honda Team HONDA,40:51:503,163.1,+17.327
2020,CAT,14,2,27,Jack OCON,KTM,Stratus Motorsport Group 31,KTM,41:01:242,162.4,+27.066
2020,CAT,15,1,53,Lewis TSUNODA,SPA,Titan GP Group 33,Racing DUCATI,41:01:458,162.4,+27.282
2020,POR,1,25,88,Arthur RUSSELL,KTM,Stratus Motorsport Group 31,KTM,41:49:163,164.7,0
2020,POR,2,20,43,Matteo ALONSO,AUS,Stratus Motorsport Group 7,Racing DUCATI,41:52:356,164.5,+3.193
2020,POR,3,16,21,Leo GASLY,ITA,Phantom Team Group 30,Yamaha SRT YAMAHA,41:52:461,164.5,+3.298
2020,POR,4,13,44,John DUPONT,KTM,Stratus Motorsport Group 19,Racing KTM,42:01:789,163.9,+12.626
2020,POR,5,11,30,Daniel MILLER,LCR,Vortex Racing Group 8,IDEMITSU HONDA,42:02:481,163.9,+13.318
2020,POR,6,10,4,Oliver LECLERC,ITA,Zenith Racing Group 4,Team DUCATI,42:04:741,163.7,+15.578
2020,POR,7,9,6,Alex WEBER,GER,Apex Racing Group 1,Honda Team HONDA,42:04:901,163.7,+15.738
2020,POR,8,8,41,Leo GASLY,SPA,Vortex Racing Group 20,Racing Team Gresini APRILIA,42:05:197,163.7,+16.034
2020,POR,9,7,73,Leo GASLY,SPA,Apex Racing Group 1,Honda Team HONDA,42:07:488,163.5,+18.325
2020,POR,10,6,5,Charles SMITH,FRA,Titan GP Group 33,Racing DUCATI,42:07:759,163.5,+18.596
2020,POR,11,5,12,Finn SAINZ,SPA,Vortex Racing Group 32,Energy Yamaha MotoGP YAMAHA,42:07:848,163.5,+18.685
2020,POR,12,4,46,Alex WEBER,ITA,Vortex Racing Group 32,Energy Yamaha MotoGP YAMAHA,42:08:109,163.5,+18.946
2020,POR,13,3,35,Max STROLL,LCR,Vortex Racing Group 8,CASTROL HONDA,42:08:322,163.5,+19.159
2020,POR,14,2,20,Max STROLL,FRA,Phantom Team Group 30,Yamaha SRT YAMAHA,42:13:539,163.1,+24.376
2020,POR,15,1,42,Lewis TSUNODA,SPA,Zenith Racing Group 16,SUZUKI ECSTAR SUZUKI,42:16:939,162.9,+27.776
2020,FRA,1,25,9,Arthur RUSSELL,ITA,Zenith Racing Group 4,Team DUCATI,45:55:736,142.1,0
2020,FRA,2,20,73,Leo GASLY,SPA,Apex Racing Group 1,Honda Team HONDA,45:57:009,142.1,+1.273
2020,FRA,3,16,44,John DUPONT,KTM,Stratus Motorsport Group 19,Racing KTM,45:57:447,142.1,+1.711
2020,FRA,4,13,4,Oliver LECLERC,ITA,Zenith Racing Group 4,Team DUCATI,45:59:647,141.9,+3.911
2020,FRA,5,11,5,Charles SMITH,FRA,Titan GP Group 33,Racing DUCATI,46:00:046,141.9,+4.310
2020,FRA,6,10,88,Arthur RUSSELL,KTM,Stratus Motorsport Group 31,KTM,46:00:202,141.9,+4.466
2020,FRA,7,9,30,Daniel MILLER,LCR,Vortex Racing Group 8,IDEMITSU HONDA,46:01:657,141.8,+5.921
2020,FRA,8,8,6,Alex WEBER,GER,Apex Racing Group 1,Honda Team HONDA,46:11:333,141.3,+15.597
2020,FRA,9,7,20,Max STROLL,FRA,Phantom Team Group 30,Yamaha SRT YAMAHA,46:12:423,141.3,+16.687
2020,FRA,10,6,12,Finn SAINZ,SPA,Vortex Racing Group 32,Energy Yamaha MotoGP YAMAHA,46:12:631,141.3,+16.895
2020,FRA,11,5,36,Matteo ALONSO,SPA,Zenith Racing Group 16,SUZUKI ECSTAR SUZUKI,46:12:716,141.3,+16.980
2020,FRA,12,4,33,Diego RICCIARDO,KTM,Stratus Motorsport Group 19,Racing KTM,46:23:057,140.8,+27.321
